id,title,genres,averageRating,releaseYear
295,All About Eve,Drama,8.2,1950
296,Ran,"Action, Drama, War",8.2,1985
297,The Kid,"Comedy, Drama, Family",8.2,1921
298,Yojimbo,"Action, Drama, Thriller",8.2,1961
299,The Treasure of the Sierra Madre,"Adventure, Drama, Western",8.2,1948
300,Baahubali 2: The Conclusion,"Action, Drama",8.2,2017
301,The Mountain II,"Action, Drama, War",8.2,2016
302,Andhadhun,"Crime, Mystery, Thriller",8.2,2018
303,Kantara,"Action, Adventure, Drama",8.2,2022
304,Gangs of Wasseypur,"Action, Comedy, Crime",8.2,2012
305,K.G.F: Chapter 1,"Action, Crime, Drama",8.2,2018
306,Swades,"Drama, Musical",8.2,2004
307,Drishyam,"Crime, Drama, Mystery",8.2,2015
308,My Father and My Son,"Drama, Family",8.2,2005
309,Zindagi Na Milegi Dobara,"Comedy, Drama, Musical",8.2,2011
310,Children of Heaven,"Drama, Family, Sport",8.2,1997
311,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"Action, Adventure, Animation",8.2,2020
312,Inside Job,"Crime, Documentary",8.2,2010
313,Hera Pheri,"Action, Comedy, Crime",8.2,2000
314,Uri: The Surgical Strike,"Action, Drama, History",8.2,2019
315,Searching for Sugar Man,"Biography, Documentary, Music",8.2,2012
316,Bhaag Milkha Bhaag,"Biography, Drama, Sport",8.2,2013
317,Tumbbad,"Drama, Fantasy, Horror",8.2,2018
318,Sherlock Jr.,"Action, Comedy, Romance",8.2,1924
319,Miracle in Cell No. 7,Drama,8.2,2019
320,Vikram Vedha,"Action, Crime, Drama",8.2,2017
321,Drishyam 2,"Crime, Drama, Mystery",8.2,2022
322,Ayla: The Daughter of War,"Biography, Drama, History",8.2,2017
323,Koyaanisqatsi,"Documentary, Music",8.2,1982
324,The Act of Killing,"Biography, Crime, Documentary",8.2,2012
325,Pather Panchali,Drama,8.2,1955
326,They Shall Not Grow Old,"Documentary, History, War",8.2,2018
327,Paan Singh Tomar,"Action, Biography, Crime",8.2,2012
328,13th,"Crime, Documentary, History",8.2,2016
329,Dersu Uzala,"Adventure, Biography, Drama",8.2,1975
330,Oficina do Diabo,Drama,8.2,2025
331,Umberto D.,Drama,8.2,1952
332,Before the Flood,"Documentary, News",8.2,2016
333,Rangasthalam,"Action, Drama",8.2,2018
334,A Man Escaped,"Drama, Thriller, War",8.2,1956
335,Manjummel Boys,"Adventure, Drama, Thriller",8.2,2024
